2,2392
3,2110
4,9564
5,2487
6,4836
7,2593
8,4954
9,7268
10,7268
12,4957
14,4314
15,9706
16,7338
17,7338
18,2582
19,4913
20,9730
21,5074
22,5032
23,5053
25,9903
26,5466
27,5469
28,5469
29,5469
30,5469
31,5469
32,5469
33,9895
34,9895
36,7389
37,7389
38,7462
40,5154
42,5087
44,2804
45,2858
46,2787
47,7419
48,2811
50,9897
51,5399
52,7556
53,2827
54,6481
55,7505
56,7505
57,7505
58,10048
59,2928
61,2948
63,5251
64,7589
65,10005
66,2904
67,2904
68,7720
69,7684
73,3039
77,10258
78,5500
79,5514
80,3114
81,7972
84,7889
86,7987
87,10366
90,10332
91,9851
92,3357
94,10943
95,8019
97,10939
98,3475
99,8083
100,8083
102,5783
104,5967
105,10949
107,1185
108,1229
109,6033
111,1343
112,10730
113,10730
114,10673
115,6024
116,3748
117,1365
118,10717
119,8447
120,8413
121,1378
122,6096
123,6096
128,5
130,86
132,8545
133,6256
135,6248
136,6248
137,3944
144,6422
147,6393
148,210
151,1742
152,8936
153,1708
155,1815
158,6689
159,4455
160,4408
161,535
162,1948
164,6769
165,6769
166,1949
167,533
168,6730
170,4459
171,4459
172,6716
173,554
175,6862
182,2012
184,9259
186,616
189,9176
191,9240
195,749
196,2213
197,9314
198,4613
201,9317
202,712
204,828
205,9420
208,9381
209,2439
211,2142
212,2140
213,2140
214,2392
215,7168
216,2466
218,2110
219,2110
220,9564
221,2146
222,3226
225,4836
226,2423
229,2576
231,9621
232,4972
233,2609
236,9634
237,4314
238,9725
239,4913
240,9730
241,4289
242,5074
243,5053
244,7461
245,5007
246,4989
247,4989
248,2844
249,9893
250,2843
251,5469
252,5469
253,5469
254,5469
255,5469
256,9964
257,9964
258,9895
260,7389
261,9963
262,5154
264,5087
265,5089
266,5089
267,9918
269,7431
270,7431
271,5401
272,5392
273,5381
275,2802
276,2858
277,5123
278,6491
280,6548
281,6548
282,2796
283,7566
284,2827
285,6563
286,6481
287,7497
288,7505
289,7505
290,9996
291,5187
292,10048
294,7564
295,2928
296,2908
297,10035
298,5251
299,7589
300,10068
301,7720
302,2941
303,7606
304,7684
305,7684
306,5278
308,5308
310,7845
313,5290
314,10133
317,3161
319,5500
320,10235
324,5514
326,3114
327,7972
328,7962
330,7889
331,7889
335,10366
337,3357
338,8056
339,3323
341,3441
342,10943
343,5721
346,10949
347,3448
348,5678
349,5678
350,8158
351,3475
352,8083
353,8106
357,10515
358,10546
359,10546
360,3553
361,1270
362,5967
363,3515
364,10949
365,3551
366,3524
367,3524
368,10648
370,1185
371,1229
372,10578
373,6049
374,3617
375,10673
376,6024
380,10717
381,8413
382,6134
383,3847
384,6096
389,8485
391,6119
393,5
394,5
395,86
396,8509
397,66
399,8545
400,6256
401,6188
402,6188
404,46
406,3944
407,8608
408,8608
410,4043
411,7589
413,1686
414,243
416,4042
418,251
419,6422
422,8783
423,6393
424,4131
427,8900
429,1742
430,8936
432,6382
433,8926
434,1815
435,379
437,1790
438,1873
439,6644
440,6644
442,1934
443,6689
444,9013
445,1964
447,4455
448,4408
450,1949
451,533
452,6730
454,1999
455,6716
458,6865
459,6794
461,6862
462,9179
464,2025
467,9263
468,2012
469,2037
476,616
479,6828
480,6832
481,9240
482,9210
483,9255
484,9255
485,6934
486,749
487,2213
489,9346
491,711
493,9317
495,7041
496,828
498,4744
500,9381
501,860
502,2439
